luft/vikt, mjk, Starttemp, avg temp, w sum, d t 30, d t 60, d t 120
35.9, 99.0, 233.1, 233.7, 0.0, -2.1, -1.6, -1
35.0, 93.1, 225.7, 223.1, 0.0, -0.6, -1.1, 0
37.2, 95.5, 225.7, 223.1, 0.0, -0.6, -1.1, 0
40.9, 97.7, 225.7, 223.1, 0.0, -0.6, -1.1, 0
29.6, 93.0, 234.3, 232.3, 15698.7, -0.6, -0.1, 2
35.6, 97.7, 234.3, 232.3, 15698.7, -0.6, -0.1, 2
38.4, 99.0, 234.3, 232.3, 15698.7, -0.6, -0.1, 2
25.8, 88.0, 234.7, 236.2, 959.1, -0.4, 0.6, 3
33.8, 95.0, 234.7, 236.2, 959.1, -0.4, 0.6, 3
36.0, 95.5, 234.7, 236.2, 959.1, -0.4, 0.6, 3
36.6, 99.0, 234.4, 236.9, 2441.5, -0.8, -0.2, 2
36.5, 98.3, 232.9, 236.4, 1424.0, 0.0, 0.8, 3
27.2, 90.6, 234.4, 236.9, 2441.5, -0.8, -0.2, 2
36.6, 99.7, 234.4, 236.9, 2441.5, -0.8, -0.2, 2
27.1, 90.2, 238.5, 238.8, 3873.6, -0.6, 0.3, 2
29.0, 92.8, 238.5, 238.8, 3873.6, -0.6, 0.3, 2
31.2, 96.9, 238.5, 238.8, 3873.6, -0.6, 0.3, 2
21.8, 88.0, 235.0, 238.1, 6075.3, 1.1, 2.2, 5
33.4, 98.5, 235.0, 238.1, 6075.3, 1.1, 2.2, 5
21.7, 87.5, 233.3, 237.9, 6576.0, -0.5, 1.0, 4
25.7, 91.5, 233.3, 237.9, 6576.0, -0.5, 1.0, 4
32.9, 101.4, 233.3, 237.9, 6576.0, -0.5, 1.0, 4
20.2, 92.0, 231.8, 236.4, 1922.1, -1.2, -0.2, 2
28.2, 98.5, 231.8, 236.4, 1922.1, -1.2, -0.2, 2
28.3, 92.0, 239.9, 238.3, 7519.7, -0.5, -0.3, -1
32.3, 94.6, 239.9, 238.3, 7519.7, -0.5, -0.3, -1
35.0, 100.0, 239.9, 238.3, 7519.7, -0.5, -0.3, -1
19.4, 86.5, 235.7, 238.2, 10107.2, -0.2, 1.1, 4
25.3, 92.5, 235.7, 238.2, 10107.2, -0.2, 1.1, 4
29.2, 96.5, 235.7, 238.2, 10107.2, -0.2, 1.1, 4
31.7, 101.0, 235.7, 238.2, 10107.2, -0.2, 1.1, 4
20.9, 85.4, 235.3, 238.3, 8613.2, -0.2, 1.3, 4
24.8, 90.3, 235.3, 238.3, 8613.2, -0.2, 1.3, 4
30.6, 96.6, 235.3, 238.3, 8613.2, -0.2, 1.3, 4
30.9, 99.0, 235.3, 238.3, 8613.2, -0.2, 1.3, 4
